BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,7, ,A5, 4732 AMBOY ROAD                           ,            ,10312,1,0,1,"3,655","1,110",2002, 1 , A5 ,"$365,040",3/5/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,8, ,A5, 4730 AMBOY ROAD                           ,            ,10312,1,0,1,"3,149","1,110",2002, 1 , A5 ,"$353,886",1/13/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,12, ,A5, 4718 AMBOY ROAD                           ,            ,10312,1,0,1,"1,746","1,110",2002, 1 , A5 ,"$310,000",7/25/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,13, ,A5, 4716 AMBOY ROAD                           ,            ,10312,1,0,1,"1,871","1,110",2002, 1 , A5 ,"$299,130",9/5/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,15, ,A5, 4714 AMBOY ROAD                           ,            ,10312,1,0,1,"4,678","1,110",2002, 1 , A5 ,"$304,099",9/19/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,15, ,A1, 10 EDWIN STREET                           ,            ,10312,1,0,1,"7,000","2,200",1980, 1 , A1 ,$0,9/17/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,20, ,A1, 5 JANSEN STREET                           ,            ,10312,1,0,1,"10,000","3,344",1980, 1 , A1 ,"$795,000",5/13/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5403,33, ,A1, 91 NOEL STREET                            ,            ,10312,1,0,1,"7,500","6,500",2002, 1 , A1 ,$0,1/6/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,18, ,A2, 1610 LENZIE STREET                        ,            ,10312,1,0,1,"7,500","2,128",1970, 1 , A2 ,"$625,000",2/7/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,35, ,A1, 103 ELMBANK STREET                        ,            ,10312,1,0,1,"2,500","1,700",1999, 1 , A1 ,$0,9/19/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,36, ,A1, 183 BATHGATE STREET                       ,            ,10312,1,0,1,"3,700","4,400",2004, 1 , A1 ,"$352,000",1/22/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,36, ,A1, 183 BATHGATE STREET                       ,            ,10312,1,0,1,"3,700","4,400",2004, 1 , A1 ,"$352,000",1/22/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,14, ,A1, 17 OCEAN DRIVEWAY                         ,            ,10312,1,0,1,"7,500","2,556",1920, 1 , A1 ,"$550,000",3/24/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,37, ,A2, 19 OCEAN DRIVEWAY                         ,            ,10312,1,0,1,"2,500","1,180",1910, 1 , A2 ,"$50,000",3/24/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,37, ,A5, 51 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,589","1,579",1986, 1 , A5 ,"$273,000",8/12/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,58, ,A5, 32 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,471","1,068",1986, 1 , A5 ,"$260,000",9/11/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,61, ,A5, 28 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,755","1,320",1986, 1 , A5 ,"$280,000",5/13/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,77, ,A5, 8 SEGUINE PLACE                           ,            ,10312,1,0,1,"1,471","1,555",1986, 1 , A5 ,"$19,200",2/12/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,14, ,A5, 19 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,508","1,521",1986, 1 , A5 ,$0,6/18/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,23, ,A5, 3 EAGAN AVENUE                            ,            ,10312,1,0,1,"1,508","1,521",1986, 1 , A5 ,"$247,400",2/6/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,46, ,A5, 44 ,            ,10312,1,0,1,"2,700","2,200",2000, 1 , A5 ,"$365,000",7/23/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,48, ,A5, 38 ,            ,10312,1,0,1,"2,600","2,200",2000, 1 , A5 ,"$382,000",7/25/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,84, ,A1, 1080 ARDEN AVENUE                         ,            ,10312,1,0,1,"4,000","1,820",1970, 1 , A1 ,$0,3/18/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1B,6212,115, ,V0, 1160 ARDEN AVENUE                         ,            ,10312,0,0,0,"11,376",0,0, 1 , A1 ,"$780,000",5/13/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6214,47, ,A1, 76 EAGAN AVENUE                           ,            ,10312,1,0,1,"10,000","1,718",1955, 1 , A2 ,$10,1/28/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6215,35, ,A1, 124 FABIAN STREET                         ,            ,10312,1,0,1,"7,500","3,664",1965, 1 , A1 ,$0,6/23/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,37, ,A5, 18 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,333","1,515",1994, 1 , A5 ,$0,7/7/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6217,27, ,A1, 2 FABIAN STREET                           ,            ,10312,1,0,1,"4,353","1,673",1925, 1 , A1 ,"$395,736",10/7/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6217,29, ,A5, 4 FABIAN STREET                           ,            ,10312,1,0,1,"2,500","2,208",2001, 1 , A5 ,"$405,600",11/6/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,32, ,A5, 22 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,432","1,816",2002, 1 , A5 ,"$354,799",12/24/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,33, ,A5, 24 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,432","1,816",2002, 1 , A5 ,"$344,659",12/19/2003
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,34, ,A5, 26 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,431","1,816",2002, 1 , A5 ,"$344,459",12/23/2003
