BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5394,8, ,A1, 16 FINGAL STREET                          ,            ,10312,1,0,1,"10,000","5,163",1985, 1 , A1 ,"$1,360,000",7/21/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,4, ,A1, 26 EDWIN STREET                           ,            ,10312,1,0,1,"7,654","2,277",1980, 1 , A1 ,"$900,000",9/5/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,19, ,A1, 4 EDWIN STREET                            ,            ,10312,1,0,1,"7,258","2,230",1980, 1 , A1 ,"$785,000",7/21/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5396,46, ,A1, 31 TALLMAN STREET                         ,            ,10312,1,0,1,"10,080","4,400",1991, 1 , A1 ,"$1,200,000",9/27/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5397,7, ,A1, 20 TALLMAN STREET                         ,            ,10312,1,0,1,"10,800","4,157",1984, 1 , A1 ,"$1,094,500",5/12/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,6, ,A2, 246 KOCH BOULEVARD                        ,            ,10312,1,0,1,"9,500","2,726",1985, 1 , A2 ,"$929,000",9/12/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,43, ,A1, 111 LENZIE STREET                         ,            ,10312,1,0,1,"6,200","4,280",1998, 1 , A1 ,"$990,000",6/28/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,11, ,A1, 24 ELMBANK STREET                         ,            ,10312,1,0,1,"5,000","1,520",1910, 1 , A1 ,$0,4/14/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,23, ,A2, 155 BATHGATE STREET                       ,            ,10312,1,0,1,"2,500",732,1939, 1 , A2 ,$0,7/7/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,36, ,A1, 183 BATHGATE STREET                       ,            ,10312,1,0,1,"3,700","4,400",2004, 1 , A1 ,"$999,999",10/30/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,5, ,A5, 109 EAGAN AVENUE                          ,            ,10312,1,0,1,"1,546","1,554",1986, 1 , A5 ,$0,3/2/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,52, ,A5, 44 SEGUINE PLACE                          ,            ,10312,1,0,1,"2,267","1,373",1986, 1 , A5 ,"$358,000",9/29/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,60, ,A5, 30 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,471","1,068",1986, 1 , A5 ,$0,1/25/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,63, ,A5, 26 SEGUINE PLACE                          ,            ,10312,1,0,1,"2,267","1,320",1986, 1 , A5 ,"$103,557",8/9/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,67, ,A5, 22 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,471","1,068",1986, 1 , A5 ,$0,2/28/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,80, ,A5, 2 SEGUINE PLACE                           ,            ,10312,1,0,1,"3,332","1,854",1986, 1 , A5 ,"$152,131",9/11/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,7, ,A5, 29 EAGAN AVENUE                           ,            ,10312,1,0,1,"2,550","1,825",1986, 1 , A5 ,$0,6/17/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,43, ,A5, 54 LUCY LOOP                              ,            ,10312,1,0,1,"2,500","2,200",2000, 1 , A5 ,"$470,000",9/1/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,161, ,A5, 95 JEANNETTE AVENUE                       ,            ,10312,1,0,1,"2,720","2,600",2007, 1 , A1 ,"$400,000",10/30/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,37, ,A5, 18 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,333","1,515",1994, 1 , A5 ,"$345,000",11/6/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,42, ,A5, 36 EAGAN AVENUE                           ,            ,10312,1,0,1,"2,333","1,515",1992, 1 , A5 ,$0,5/30/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,45, ,A5, 117 MOSELY AVENUE                         ,            ,10312,1,0,1,"2,500","2,008",2001, 1 , A5 ,"$391,858",5/23/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,5, ,A5, 66 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,295","2,285",2004, 1 , A5 ,"$385,219",4/25/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,6, ,A5, 68 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,584","2,285",2004, 1 , A5 ,"$436,020",4/11/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,7, ,A5, 70 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,730","2,285",2004, 1 , A5 ,"$395,359",3/16/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,8, ,A5, 72 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,730","2,285",2004, 1 , A5 ,"$395,359",4/4/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,9, ,A5, 74 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,386","2,285",2004, 1 , A5 ,"$390,289",3/17/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,10, ,A5, 76 LORRAINE AVENUE                        ,            ,10312,1,0,1,"9,776","1,394",2004, 1 , A5 ,"$454,272",4/10/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,19, ,A5, 59 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,759","2,285",2004, 1 , A5 ,"$439,062",12/21/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,21, ,A5, 55 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,759","2,285",2004, 1 , A5 ,"$405,499",12/14/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,24, ,A5, 49 ENDVIEW STREET                         ,            ,10312,1,0,1,"2,260","2,285",2004, 1 , A5 ,"$395,359",12/14/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,50, ,A5, 12 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,648","1,816",2003, 1 , A5 ,"$452,000",8/22/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,63, ,A5, 40 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,648","1,816",2003, 1 , A5 ,"$440,000",12/20/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,68, ,A5, 52 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,648","1,816",2003, 1 , A5 ,$0,3/20/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6221,50, ,A5, 39 JEANNETTE AVENUE                       ,            ,10312,1,0,1,"2,400","2,030",2004, 1 , A5 ,"$503,958",1/5/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6221,61, ,A1, 15 JEANNETTE AVENUE                       ,            ,10312,1,0,1,"4,640","3,150",2006, 1 , A1 ,$0,12/14/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6221,63, ,A1, 11 JEANNETTE AVENUE                       ,            ,10312,1,0,1,"4,640","3,150",2006, 1 , A1 ,$0,12/14/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,33, ,A5, 58 JEANNETTE AVENUE                       ,            ,10312,1,0,1,"2,490","2,250",2004, 1 , A5 ,"$505,986",3/20/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,35, ,A5, 40 RALPH AVENUE                           ,            ,10312,1,0,1,"2,280","1,650",2004, 1 , A5 ,"$466,440",10/4/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,36, ,A5, 42 RALPH AVENUE                           ,            ,10312,1,0,1,"2,400","1,650",2004, 1 , A5 ,"$471,510",9/7/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,40, ,A5, 43 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,400","2,100",2004, 1 , A5 ,"$539,571",8/16/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,41, ,A5, 41 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,400","2,100",2004, 1 , A5 ,"$515,000",12/7/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,41, ,A5, 41 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,400","2,100",2004, 1 , A5 ,"$539,571",8/3/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,42, ,A5, 39 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,400","2,100",2004, 1 , A5 ,"$529,000",12/15/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,45, ,A5, 33 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,400","2,100",2004, 1 , A5 ,"$539,571",8/2/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,46, ,A5, 31 LORRAINE AVENUE                        ,            ,10312,1,0,1,"2,400","2,100",2004, 1 , A5 ,"$539,571",8/11/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,131, ,A5, 56 JEANNETTE AVENUE                       ,            ,10312,1,0,1,"2,660","2,250",2004, 1 , A5 ,"$505,986",3/20/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6226,93, ,A2, 55 JEFFERSON BOULEVARD                    ,            ,10312,1,0,1,"3,402","1,360",1930, 1 , A2 ,$0,1/27/2006
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6226,95, ,A1, 59 JEFFERSON BOULEVARD                    ,            ,10312,1,0,1,"4,700","2,208",1910, 1 , A1 ,"$435,000",7/5/2006
