BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5402,17, ,A2, 6 WEAVER STREET                           ,            ,10312,1,0,1,"10,500","1,964",1980, 1 , A2 ,"$720,000",7/15/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,23, ,A1, 1666 ARDEN AVE                            ,            ,10312,1,0,1,"5,000","1,824",1950, 1 , A1 ,"$455,000",8/13/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,36, ,A1, 183 BATHGATE STREET                       ,            ,10312,1,0,1,"3,700","4,400",2004, 1 , A1 ,$0,10/13/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5425,31, ,A2, 7 SANDGAP STREET                          ,            ,10312,1,0,1,"2,500",624,1925, 1 , A2 ,"$185,000",6/16/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,4, ,A5, 111 EAGAN AVENUE                          ,            ,10312,1,0,1,"1,845","1,854",1986, 1 , A5 ,"$325,000",5/26/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,16, ,A5, 93 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,546","1,579",1986, 1 , A5 ,"$337,500",11/19/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,112, ,A5, 50 MAY PLACE                              ,            ,10312,1,0,1,"2,475","2,495",1986, 1 , A5 ,"$437,750",10/6/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,145, ,A5, 60 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,471","1,172",1986, 1 , A5 ,"$264,000",5/21/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,4, ,A5, 35 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,508","1,521",1986, 1 , A5 ,"$335,000",9/22/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,12, ,A5, 23 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,508","1,521",1986, 1 , A5 ,"$322,000",4/30/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,18, ,A5, 11 EAGAN AVENUE                           ,            ,10312,1,0,1,"2,550","1,825",1986, 1 , A5 ,"$365,000",12/6/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,34, ,A5, 100 SEGUINE PLACE                         ,            ,10312,1,0,1,"1,550","1,521",1986, 1 , A5 ,"$317,000",3/23/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,35, ,A5, 98 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,550","1,521",1986, 1 , A5 ,"$317,000",5/14/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,41, ,A5, 90 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,508","1,068",1986, 1 , A5 ,"$247,000",7/21/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,44, ,A5, 84 SEGUINE PLACE                          ,            ,10312,1,0,1,"2,300","1,825",1986, 1 , A5 ,"$360,000",12/20/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6215,35, ,A1, 124 FABIAN STREET                         ,            ,10312,1,0,1,"7,500","3,664",1965, 1 , A1 ,$0,4/27/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,11, ,A1, 25 FABIAN STREET                          ,            ,10312,1,0,1,"10,000","2,488",1970, 1 , A1 ,$0,8/23/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,39, ,A5, 26 EAGAN AVENUE                           ,            ,10312,1,0,1,"2,333","1,515",1992, 1 , A5 ,"$309,000",3/17/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,1, ,A5, 73 BARB STREET                            ,            ,10312,1,0,1,"3,500","1,816",2004, 1 , A5 ,"$410,670",12/23/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,4, ,A5, 67 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$385,219",12/20/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,5, ,A5, 65 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$396,775",12/29/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,7, ,A5, 61 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$379,900",12/16/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,8, ,A5, 59 BARB STREET                            ,            ,10312,1,0,1,"2,575","1,661",2004, 1 , A5 ,"$410,670",12/23/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,40, ,A5, 30 LORRAINE AVENUE                        ,            ,10312,1,0,1,"5,404","1,816",2002, 1 , A5 ,"$364,939",1/21/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,50, ,A5, 12 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,648","1,816",2003, 1 , A5 ,"$344,659",2/18/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,51, ,A5, 14 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,648","1,816",2003, 1 , A5 ,"$365,338",3/12/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,52, ,A5, 16 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,648","1,816",2003, 1 , A5 ,"$343,645",2/26/2004
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,53, ,A5, 16 ENDVIEW STREET                         ,            ,10312,1,0,1,"1,648","1,816",2003, 1 , A5 ,"$344,659",2/13/2004
