BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,15, ,A5, 4714 AMBOY ROAD                           ,            ,10312,1,0,1,"4,678","1,110",2002, 1 , A5 ,$0,8/31/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,52, ,A1, 575 OAKDALE STREET                        ,            ,10312,1,0,1,"5,000","1,504",1925, 1 , A1 ,"$580,000",6/20/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,80, ,A1, 15 BLUE HERON DRIVE                       ,            ,10312,1,0,1,"7,500","3,000",1980, 1 , A1 ,"$962,500",4/20/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5394,8, ,A1, 16 FINGAL STREET                          ,            ,10312,1,0,1,"10,000","5,163",1985, 1 , A1 ,"$1,250,000",12/22/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5399,37, ,A2, 255 KOCH BOULEVARD                        ,            ,10312,1,0,1,"8,190","1,528",1970, 1 , A2 ,"$725,000",10/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,25, ,A1, 15 JANSEN STREET                          ,            ,10312,1,0,1,"10,000","3,344",1980, 1 , A1 ,"$400,000",10/31/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5401,5, ,A2, 28 JANSEN STREET                          ,            ,10312,1,0,1,"10,800","2,164",1980, 1 , A2 ,$0,2/18/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,35, ,A1, 103 ELMBANK STREET                        ,            ,10312,1,0,1,"2,500","1,700",1999, 1 , A1 ,"$485,000",2/11/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,37, ,A1, 111 ELMBANK STREET                        ,            ,10312,1,0,1,"2,500","1,700",1999, 1 , A1 ,"$469,000",3/17/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,45, ,A1, 391 HAROLD AVENUE                         ,            ,10312,1,0,1,"3,069","2,862",2004, 1 , A1 ,$0,2/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,1, ,A1, 407 HAROLD AVENUE                         ,            ,10312,1,0,1,"3,800","3,020",2001, 1 , A1 ,"$770,000",11/2/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,6, ,A1, 118 ELMBANK STREET                        ,            ,10312,1,0,1,"6,200","2,580",1975, 1 , A1 ,$0,5/13/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5408,7, ,A2, 192 BATHGATE STREET                       ,            ,10312,1,0,1,"2,500",572,1930, 1 , A2 ,"$280,000",10/18/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,19, ,A1, 8 SANDGAP STREET                          ,            ,10312,1,0,1,"1,975","1,280",1997, 1 , A1 ,"$359,000",2/10/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,34, ,A1, 13 OCEAN DRIVEWAY                         ,            ,10312,1,0,1,"2,500","2,000",1915, 1 , A6 ,"$465,000",11/10/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,9, ,A5, 103 EAGAN AVENUE                          ,            ,10312,1,0,1,"2,665","1,854",1986, 1 , A5 ,"$405,000",10/12/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,36, ,A5, 53 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,546","1,579",1986, 1 , A5 ,"$355,000",2/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,83, ,A1, 7 SEGUINE PLACE                           ,            ,10312,1,0,1,"3,989","3,200",2004, 1 , A1 ,"$672,045",6/17/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,128, ,A5, 14 MAY PLACE                              ,            ,10312,1,0,1,"2,400","2,495",1986, 1 , A5 ,"$499,990",11/11/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,33, ,A5, 102 SEGUINE PLACE                         ,            ,10312,1,0,1,"1,550","1,521",1986, 1 , A5 ,"$355,000",5/10/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,49, ,A5, 76 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,508","1,521",1986, 1 , A5 ,"$360,000",6/23/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,50, ,A5, 74 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,508","1,068",1986, 1 , A5 ,$0,6/13/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,51, ,A5, 72 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,508","1,068",1986, 1 , A5 ,"$321,000",12/2/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,52, ,A5, 70 SEGUINE PLACE                          ,            ,10312,1,0,1,"2,700","1,320",1986, 1 , A5 ,$0,3/15/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,52, ,A5, 70 SEGUINE PLACE                          ,            ,10312,1,0,1,"2,700","1,320",1986, 1 , A5 ,$0,3/15/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,87, ,A1, 1090 ARDEN AVENUE                         ,            ,10312,1,0,1,"4,200","2,352",1970, 1 , A1 ,"$430,000",12/22/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1B,6212,113, ,V0, 1144 ARDEN AVENUE                         ,            ,10312,0,0,0,"3,270",0,0, 1 , A1 ,"$550,000",6/9/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6215,21, ,A2, 86 MOSELY AVENUE                          ,            ,10312,1,0,1,"10,000",968,1955, 1 , A2 ,"$585,000",1/6/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,35, ,A5, 14 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,333","1,515",1994, 1 , A5 ,"$325,000",7/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,37, ,A5, 18 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,333","1,515",1994, 1 , A5 ,"$329,000",1/14/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,43, ,A5, 123 MOSELY AVENUE                         ,            ,10312,1,0,1,"2,500","2,008",2001, 1 , A5 ,"$465,000",8/18/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,2, ,A5, 71 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$385,219",1/3/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,3, ,A5, 69 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$395,359",1/7/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,6, ,A5, 63 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$400,530",3/24/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,9, ,A5, 55 BARB STREET                            ,            ,10312,1,0,1,"2,575","1,661",2004, 1 , A5 ,"$420,000",2/24/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,10, ,A5, 53 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$401,443",2/23/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,11, ,A5, 51 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$395,359",2/16/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,12, ,A5, 49 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$395,359",3/2/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,13, ,A5, 47 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$412,546",2/25/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,14, ,A5, 45 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$395,359",2/15/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,15, ,A5, 43 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$419,087",2/28/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,16, ,A5, 41 BARB STREET                            ,            ,10312,1,0,1,"2,575","1,661",2004, 1 , A5 ,"$430,950",5/9/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,17, ,A5, 37 BARB STREET                            ,            ,10312,1,0,1,"2,575","1,661",2004, 1 , A5 ,"$430,950",4/11/2005
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,18, ,A5, 35 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$400,530",3/23/2005
