BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6233,4, ,A2, 287 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"6,000","1,032",1935, 1 , A2 ,"$70,000",10/4/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6233,41, ,A1, 590 ARDEN AVENUE                          ,            ,10312,1,0,1,"8,000","1,920",1930, 1 , A1 ,$0,11/15/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6233,56, ,A2, 135 RATHBUN AVENUE                        ,            ,10312,1,0,1,"4,000","2,088",1960, 1 , A2 ,$0,11/12/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6234,13, ,A2, 244 SHELDON AVENUE                        ,            ,10312,1,0,1,"4,000","1,144",1965, 1 , A2 ,$0,6/15/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6237,44, ,A2, 490 ARDEN AVENUE                          ,            ,10312,1,0,1,"6,100","1,008",1955, 1 , A2 ,$0,1/10/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6238,10, ,A1, 447 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"6,000","2,727",1940, 1 , A1 ,"$513,000",11/29/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6239,22, ,A1, 672 WOODROW ROAD                          ,            ,10312,1,0,1,"6,200","2,616",1975, 1 , A1 ,"$510,000",7/6/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6239,83, ,A1, 257 CROWN AVENUE                          ,            ,10312,1,0,1,"9,600","1,728",1975, 1 , A1 ,"$400,000",12/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6240,12, ,A1, 30 SUMMIT PLACE                           ,            ,10312,1,0,1,"10,000","3,674",1975, 1 , A1 ,"$645,000",5/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6242,70, ,A1, 27 SUMMIT PLACE                           ,            ,10312,1,0,1,"8,250","2,560",1975, 1 , A1 ,$0,11/16/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6243,25, ,A5, 18 SHERIDAN PLACE                         ,            ,10312,1,0,1,"2,750","2,380",2000, 1 , A5 ,"$470,000",5/30/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6243,40, ,A1, 112 BARCLAY AVENUE                        ,            ,10312,1,0,1,"6,000","2,147",1950, 1 , A1 ,"$733,140",8/3/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6243,43, ,A3, 120 BARCLAY AVENUE                        ,            ,10312,1,0,1,"10,000","3,175",2012, 1 , A2 ,"$535,000",8/29/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6243,64, ,A1, 43 MOSELY AVENUE                          ,            ,10312,1,0,1,"5,500","3,831",1920, 1 , A1 ,"$625,000",12/26/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,108, ,A1, 7 FURMAN STREET                           ,            ,10312,1,0,1,"6,400","2,076",1970, 1 , A1 ,$0,10/10/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,180, ,A2, 53 PINE TERRACE                           ,            ,10312,1,0,1,"6,000","1,560",1960, 1 , A2 ,$0,10/23/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,257, ,A1, 45 FURMAN STREET                          ,            ,10312,1,0,1,"4,200","2,800",2001, 1 , A1 ,$0,2/23/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,8, ,A2, 275 ALBEE AVENUE                          ,            ,10312,1,0,1,"6,180","1,946",1975, 1 , A2 ,"$427,500",8/30/2012
