BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,13, ,A5, 4716 AMBOY ROAD                           ,            ,10312,1,0,1,"1,871","1,110",2002, 1 , A5 ,"$340,000",10/25/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5397,51, ,A1, 23 EYLANDT STREET                         ,            ,10312,1,0,1,"10,120","3,000",1985, 1 , A1 ,"$960,000",5/18/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,6, ,A2, 246 KOCH BOULEVARD                        ,            ,10312,1,0,1,"9,500","2,726",1985, 1 , A2 ,$0,9/10/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5402,23, ,A1, 1570 ARDEN AVENUE                         ,            ,10312,1,0,1,"5,000","2,256",1980, 1 , A1 ,"$627,500",3/28/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5403,12, ,A1, 250 SHIRLEY AVENUE                        ,            ,10312,1,0,1,"5,000","2,734",1992, 1 , A1 ,"$721,700",1/22/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,38, ,A1, 107 LENZIE STREET                         ,            ,10312,1,0,1,"8,800","6,450",2008, 1 , A2 ,"$580,000",12/20/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,17, ,A5, 91 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,845","1,854",1986, 1 , A5 ,"$395,000",5/30/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,27, ,A5, 73 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,845","1,854",1986, 1 , A5 ,"$360,000",10/19/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,61, ,A5, 28 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,755","1,320",1986, 1 , A5 ,"$360,000",6/13/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,63, ,A5, 26 SEGUINE PLACE                          ,            ,10312,1,0,1,"2,267","1,320",1986, 1 , A5 ,"$386,500",7/10/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,65, ,A5, 24 SEGUINE PLACE                          ,            ,10312,1,0,1,"2,267","1,320",1986, 1 , A5 ,"$380,000",12/7/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,67, ,A5, 22 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,471","1,068",1986, 1 , A5 ,"$331,800",7/31/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,113, ,A5, 46 MAY PLACE                              ,            ,10312,1,0,1,"2,475","2,495",1986, 1 , A5 ,"$430,000",9/5/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,23, ,A5, 3 EAGAN AVENUE                            ,            ,10312,1,0,1,"1,508","1,521",1986, 1 , A5 ,"$381,000",6/15/2007
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,41, ,A5, 90 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,508","1,068",1986, 1 , A5 ,"$323,000",8/10/2007
