BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5394,4, ,A2, 26 FINGAL STREET                          ,            ,10312,1,0,1,"13,406","6,540",1982, 1 , A2 ,$0,1/30/2008
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5397,30, ,A1, 5 EYLANDT STREET                          ,            ,10312,1,0,1,"10,120","3,000",1984, 1 , A1 ,$0,9/26/2008
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5399,9, ,A2, 18 SANDBORN STREET                        ,            ,10312,1,0,1,"4,750","1,716",1960, 1 , A2 ,$500,7/10/2008
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,6, ,A2, 246 KOCH BOULEVARD                        ,            ,10312,1,0,1,"9,500","2,726",1985, 1 , A2 ,"$940,000",8/6/2008
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5403,31, ,A1, 85 NOEL STREET                            ,            ,10312,1,0,1,"5,000","3,200",2002, 1 , A1 ,"$865,000",9/2/2008
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,29, ,A2, 85 LENZIE STREET                          ,            ,10312,1,0,1,"7,500","3,850",1986, 1 , A2 ,"$800,000",4/17/2008
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,13, ,A1, 100 ELMBANK STREET                        ,            ,10312,1,0,1,"5,000","1,719",1975, 1 , A1 ,$0,3/18/2008
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,19, ,A1, 8 SANDGAP STREET                          ,            ,10312,1,0,1,"1,975","1,280",1997, 1 , A1 ,"$365,000",8/29/2008
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,23, ,A1, 1 OCEAN DRIVEWAY                          ,            ,10312,1,0,1,"9,200","4,109",2006, 1 , A1 ,$0,9/17/2008
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,23, ,A1, 1 OCEAN DRIVEWAY                          ,            ,10312,1,0,1,"9,200","4,109",2006, 1 , A1 ,"$360,000",6/10/2008
